<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;201201;000000;0.0373850;0.0378250;0.0372700;0.0377000;29852440000
VTBR;D;201202;000000;0.0375500;0.0380500;0.0374700;0.0379700;33236820000
VTBR;D;201203;000000;0.0379950;0.0384300;0.0373400;0.0377550;46388570000
VTBR;D;201204;000000;0.0378350;0.0381000;0.0377000;0.0378350;39926930000
VTBR;D;201207;000000;0.0377950;0.0379850;0.0374450;0.0374900;25896520000
VTBR;D;201208;000000;0.0374800;0.0378000;0.0370500;0.0374800;26196850000
VTBR;D;201209;000000;0.0375050;0.0379400;0.0372500;0.0373200;31227560000
VTBR;D;201210;000000;0.0374200;0.0381400;0.0372300;0.0380300;47833580000
VTBR;D;201211;000000;0.0380750;0.0382300;0.0377000;0.0379450;35719410000
VTBR;D;201214;000000;0.0381500;0.0386950;0.0375000;0.0378300;63760160000
VTBR;D;201215;000000;0.0377100;0.0380400;0.0376100;0.0377650;39265700000
VTBR;D;201216;000000;0.0378200;0.0385000;0.0377000;0.0383150;64465980000
VTBR;D;201217;000000;0.0383500;0.0389400;0.0380050;0.0383500;48285610000
VTBR;D;201218;000000;0.0381950;0.0383650;0.0378250;0.0381500;29649110000
VTBR;D;201221;000000;0.0379550;0.0380450;0.0365150;0.0371800;58457380000
VTBR;D;201222;000000;0.0368950;0.0375400;0.0367550;0.0372050;27808460000
VTBR;D;201223;000000;0.0372850;0.0381450;0.0371550;0.0379450;33245910000
VTBR;D;201224;000000;0.0381050;0.0382700;0.0376700;0.0378300;17825410000
VTBR;D;201225;000000;0.0378500;0.0380750;0.0378000;0.0379500;9898910000
VTBR;D;201228;000000;0.0383000;0.0383150;0.0379000;0.0380100;18188520000
VTBR;D;201229;000000;0.0381550;0.0382200;0.0374650;0.0377550;16669170000
VTBR;D;201230;000000;0.0378400;0.0381800;0.0375000;0.0378950;17773750000
VTBR;D;210104;000000;0.0380250;0.0385200;0.0378000;0.0379250;23826040000
VTBR;D;210105;000000;0.0379350;0.0386000;0.0378550;0.0384450;28782590000
VTBR;D;210106;000000;0.0385250;0.0385950;0.0380500;0.0382350;25428390000
VTBR;D;210108;000000;0.0385200;0.0390950;0.0384450;0.0389400;39504750000
VTBR;D;210111;000000;0.0387400;0.0400500;0.0384100;0.0398900;60293350000
VTBR;D;210112;000000;0.0400500;0.0405500;0.0397500;0.0401750;49414150000
VTBR;D;210113;000000;0.0402050;0.0404600;0.0395100;0.0397350;37088800000
VTBR;D;210114;000000;0.0397900;0.0401000;0.0392600;0.0398750;26614430000
VTBR;D;210115;000000;0.0397350;0.0414400;0.0392000;0.0395600;84199700000
VTBR;D;210118;000000;0.0393650;0.0394400;0.0387550;0.0391600;39167780000
VTBR;D;210119;000000;0.0393600;0.0394750;0.0385500;0.0386450;33754240000
VTBR;D;210120;000000;0.0386750;0.0389100;0.0386000;0.0387900;24767440000
VTBR;D;210121;000000;0.0389750;0.0389900;0.0377900;0.0378700;37873510000
VTBR;D;210122;000000;0.0376500;0.0377400;0.0370800;0.0373700;33368140000
VTBR;D;210125;000000;0.0375700;0.0379000;0.0374050;0.0377200;25833990000
VTBR;D;210126;000000;0.0375500;0.0378250;0.0373500;0.0377200;18534280000
VTBR;D;210127;000000;0.0377950;0.0378850;0.0370200;0.0370650;24553950000
VTBR;D;210128;000000;0.0370150;0.0373200;0.0364000;0.0370900;34054250000
VTBR;D;210129;000000;0.0369350;0.0369550;0.0365500;0.0366350;22231830000
VTBR;D;210201;000000;0.0368050;0.0371450;0.0366350;0.0369450;20868410000
VTBR;D;210202;000000;0.0371050;0.0375300;0.0368500;0.0369450;27879580000
VTBR;D;210203;000000;0.0370950;0.0373750;0.0367500;0.0370000;22583830000
VTBR;D;210204;000000;0.0369300;0.0374000;0.0369300;0.0373800;18425370000
VTBR;D;210205;000000;0.0374600;0.0380750;0.0373150;0.0378850;29788030000
VTBR;D;210208;000000;0.0380300;0.0383400;0.0380200;0.0382850;19924360000
VTBR;D;210209;000000;0.0383750;0.0384250;0.0375900;0.0378050;25137910000
VTBR;D;210210;000000;0.0378600;0.0380700;0.0372800;0.0373700;16850560000
VTBR;D;210211;000000;0.0373700;0.0377300;0.0372350;0.0374700;12235000000
VTBR;D;210212;000000;0.0374200;0.0376900;0.0369450;0.0376850;20117990000
VTBR;D;210215;000000;0.0378400;0.0381450;0.0377500;0.0380800;21239530000
VTBR;D;210216;000000;0.0381600;0.0382250;0.0377000;0.0378900;15712950000
VTBR;D;210217;000000;0.0378600;0.0383000;0.0373800;0.0376800;23405520000
VTBR;D;210218;000000;0.0376900;0.0377350;0.0367550;0.0369400;25669960000
