<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;210519;000000;5260.5000000;5301.0000000;5151.0000000;5226.5000000;516892
MGNT;D;210520;000000;5232.0000000;5241.5000000;5141.5000000;5161.0000000;335771
MGNT;D;210521;000000;5163.0000000;5315.0000000;5163.0000000;5300.5000000;591373
MGNT;D;210524;000000;5317.0000000;5345.0000000;5265.5000000;5282.0000000;296527
MGNT;D;210525;000000;5279.5000000;5348.0000000;5255.5000000;5331.0000000;283530
MGNT;D;210526;000000;5330.5000000;5410.0000000;5317.0000000;5346.5000000;357235
MGNT;D;210527;000000;5330.0000000;5385.0000000;5300.0000000;5362.0000000;354701
MGNT;D;210528;000000;5378.0000000;5433.0000000;5361.5000000;5409.5000000;335283
MGNT;D;210531;000000;5420.0000000;5474.5000000;5420.0000000;5460.5000000;243315
MGNT;D;210601;000000;5480.0000000;5524.5000000;5442.0000000;5469.5000000;402900
MGNT;D;210602;000000;5476.0000000;5500.0000000;5432.0000000;5471.5000000;257450
MGNT;D;210603;000000;5466.5000000;5502.0000000;5439.0000000;5459.0000000;299888
MGNT;D;210604;000000;5476.5000000;5476.5000000;5382.5000000;5445.0000000;321749
MGNT;D;210607;000000;5445.0000000;5471.0000000;5390.5000000;5417.0000000;240113
MGNT;D;210608;000000;5430.5000000;5452.5000000;5338.5000000;5396.0000000;325771
MGNT;D;210609;000000;5400.0000000;5403.0000000;5345.0000000;5384.5000000;194043
MGNT;D;210610;000000;5385.0000000;5398.5000000;5315.0000000;5379.5000000;295036
MGNT;D;210611;000000;5384.5000000;5459.5000000;5345.0000000;5405.0000000;430067
MGNT;D;210614;000000;5394.0000000;5460.0000000;5392.5000000;5449.0000000;235351
MGNT;D;210615;000000;5455.0000000;5499.0000000;5422.5000000;5457.5000000;354744
MGNT;D;210616;000000;5460.0000000;5505.0000000;5451.0000000;5486.0000000;494842
MGNT;D;210617;000000;5466.5000000;5568.5000000;5462.0000000;5559.0000000;506767
MGNT;D;210618;000000;5555.5000000;5685.0000000;5460.0000000;5605.0000000;685824
MGNT;D;210621;000000;5595.0000000;5670.0000000;5586.0000000;5650.0000000;510133
MGNT;D;210622;000000;5675.0000000;5686.5000000;5585.5000000;5606.0000000;517615
MGNT;D;210623;000000;5607.0000000;5628.0000000;5550.0000000;5569.0000000;732605
MGNT;D;210624;000000;5323.0000000;5363.0000000;5275.0000000;5319.5000000;602009
MGNT;D;210625;000000;5323.0000000;5335.5000000;5290.0000000;5324.5000000;181667
MGNT;D;210628;000000;5314.5000000;5339.0000000;5296.0000000;5302.5000000;267538
