<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;201201;000000;182.6000000;188.0900000;181.7800000;185.3400000;67193810
GAZP;D;201202;000000;185.0000000;187.2400000;183.1200000;187.2200000;40191320
GAZP;D;201203;000000;186.9800000;187.5800000;184.3700000;185.1200000;35885290
GAZP;D;201204;000000;186.2000000;189.4200000;185.8500000;188.7900000;50684840
GAZP;D;201207;000000;188.2200000;192.8500000;187.8000000;190.7600000;53512780
GAZP;D;201208;000000;190.3400000;191.4500000;187.8000000;190.0000000;48382270
GAZP;D;201209;000000;190.3000000;193.0900000;189.0500000;189.3500000;52678040
GAZP;D;201210;000000;189.5500000;193.5100000;188.6700000;192.9500000;54318200
GAZP;D;201211;000000;193.0500000;201.6300000;192.3100000;201.5000000;103060380
GAZP;D;201214;000000;203.5000000;207.8500000;198.7800000;199.9100000;122788480
GAZP;D;201215;000000;199.0100000;202.2900000;197.0500000;201.0000000;65473740
GAZP;D;201216;000000;201.0100000;206.2000000;199.5400000;206.2000000;75214780
GAZP;D;201217;000000;206.7000000;215.3800000;206.5100000;214.5200000;159538150
GAZP;D;201218;000000;214.0000000;214.5000000;207.2200000;212.6900000;133717910
GAZP;D;201221;000000;209.9100000;209.9900000;200.8000000;203.4600000;123517830
GAZP;D;201222;000000;200.7400000;210.6800000;199.1900000;208.4000000;109794540
GAZP;D;201223;000000;209.0000000;212.7800000;206.2000000;207.6300000;78877050
GAZP;D;201224;000000;208.5400000;209.9600000;203.1500000;206.2400000;59081790
GAZP;D;201225;000000;206.2000000;206.7300000;204.0100000;205.0300000;16517780
GAZP;D;201228;000000;205.5300000;207.8600000;205.1500000;206.1100000;35038710
GAZP;D;201229;000000;206.9500000;210.0000000;206.6100000;208.7500000;42353620
GAZP;D;201230;000000;209.8800000;213.3800000;209.5000000;212.9800000;74667210
GAZP;D;210104;000000;212.7100000;216.6300000;211.6400000;212.7100000;55195430
GAZP;D;210105;000000;213.2000000;215.3800000;210.2200000;215.3200000;48913740
GAZP;D;210106;000000;215.4800000;216.8000000;213.0700000;214.3800000;47897590
GAZP;D;210108;000000;217.1400000;226.2400000;217.0000000;225.4900000;100717800
GAZP;D;210111;000000;225.0500000;231.0000000;221.8100000;227.6000000;112506470
GAZP;D;210112;000000;229.0000000;231.4400000;225.6600000;228.6900000;64309460
